id,name_en,name_ar,category,subcategory,neighborhood,address_hint,age_min,age_max,price_tier,price_note,indoor_outdoor,ac,stroller,prayer_room,halal,parking,booking,website,instagram,phone_pattern,blurb_en,blurb_ar,honest_note,status,editorial_priority,featured_candidate,source_note
aspire-park,Aspire Park,حديقة أسباير,park,large urban park,Aspire,"Al Waab St, next to Aspire Tower",0,0,free,Free,outdoor,N,Y,Y,Y,Y,walk-in,,,,"Qatar’s largest urban park, with playgrounds, a lake, skate ramps, and long shaded paths. Good at sunrise or after 4pm. The loop is 2.2 km — strollers handle it easily.",قيد المراجعة,Midday in summer is brutal; aim for early morning or after sunset. Weekends get packed near the playground.,verified,1,Y,Qatar Tourism
al-bidda-park,Al Bidda Park,حديقة البدع,park,large urban park,Corniche,"Opposite Corniche, near Diwan",0,0,free,Free,outdoor,N,Y,Y,N,Y,walk-in,,,,"Sprawling park across from the Corniche with several themed play zones, a skate park, outdoor gyms and an amphitheatre. Lots of shade at the north end. Food trucks on Friday evenings.",قيد المراجعة,Weekday mornings are calm. Fridays get very busy near the splash area.,verified,1,Y,editorial seed — verify before publish
mia-park,MIA Park,حديقة متحف الفن الإسلامي,park,waterfront park,Corniche,Museum of Islamic Art waterfront,0,0,free,Free,outdoor,N,Y,Y,Y,Y,walk-in,,,,"A waterfront park with skyline views, gentle slopes for scooters, and a playground at the eastern end. Pair it with the museum cafe for a short outing with under-8s.",قيد المراجعة,Parking fills on weekends; use the museum lot or walk in from the Corniche.,verified,1,Y,editorial seed — verify before publish
oxygen-park,Oxygen Park,حديقة الأكسجين,park,running & playground,Education City,"Education City, near QF HQ",0,0,free,Free,outdoor,N,Y,Y,Y,Y,walk-in,,,,"Designed as a running and walking park with long, shaded undulating paths. The playground near the east gate works well for ages 3–9. Breezy even in hotter months.",قيد المراجعة,Play equipment can get hot mid-afternoon; pick morning or evening.,verified,2,Y,editorial seed — verify before publish
katara-beach,Katara Beach,شاطئ كتارا,beach,family beach,Katara,Katara Cultural Village beachfront,0,0,low,Entry from QAR 15,outdoor,N,Y,Y,Y,Y,walk-in,,,,"Calm, supervised beach with shallow entry and watersports rentals at the Pearl end. Sunshades available to rent. Pair it with a walk through Katara after sunset.",قيد المراجعة,Afternoons bake in summer — mornings are safer for under-5s.,verified,1,Y,editorial seed — verify before publish
al-wakrah-family-beach,Al Wakrah Family Beach,شاطئ الوكرة العائلي,beach,family beach,Al Wakra,South of Souq Al Wakrah,0,0,free,Free,outdoor,N,partial,Y,Y,Y,walk-in,,,,"Long, shallow beach with shaded gazebos, BBQ pits, and a playground at the north end. A solid Saturday-morning pick if Corniche feels too busy.",قيد المراجعة,Sand gets hot; bring water shoes for toddlers.,verified,2,Y,editorial seed — verify before publish
simaisma-beach,Simaisma Beach,شاطئ سميسمة,beach,day beach,Al Khor,"Between Lusail and Al Khor, coastal road",0,0,free,Free,outdoor,N,partial,unknown,unknown,Y,walk-in,,,,"Quiet stretch of coast north of Lusail, shallow for a long way out. Popular with families for kite flying in the cooler months.",قيد المراجعة,No café or shade — bring everything you need.,verifying,3,N,editorial seed — verify before publish
souq-waqif-kids,Souq Waqif,سوق واقف,mall-play,heritage souq,Msheireb,"Off the Corniche, heritage district",0,0,free,Free to wander,mixed,partial,partial,Y,Y,paid,walk-in,,,,"Not a kids venue per se, but the falcon souq, horse stables and toy-shop alley make a great after-sunset walk for ages 4+. Try one of the courtyard restaurants when the band is playing.",قيد المراجعة,Strollers struggle on the cobblestones. Evenings get very crowded on weekends.,verified,2,Y,editorial seed — verify before publish
katara-cultural-village,Katara Cultural Village,الحي الثقافي كتارا,mall-play,cultural village,Katara,"West Bay coastal, north of Pearl",0,0,free,Free; events vary,mixed,partial,Y,Y,Y,Y,walk-in,,,,"Open-air village with amphitheatre, galleries, a kids’ reading nook at Katara Library, and seasonal festivals for ages 5+. Good for a two-hour evening loop.",قيد المراجعة,Very few covered walkways in summer — plan for sunset.,verified,1,Y,editorial seed — verify before publish
the-pearl-boardwalk,The Pearl Boardwalk,كورنيش اللؤلؤة,park,waterfront promenade,The Pearl,Porto Arabia marina,0,0,free,Free,outdoor,N,Y,Y,Y,paid,walk-in,,,,"Flat, stroller-friendly promenade around the Porto Arabia marina. Works as a pre-dinner walk with scooters for ages 4–9.",قيد المراجعة,Parking in the basement garages is paid after the first hour on weekends.,verified,2,N,editorial seed — verify before publish
lusail-marina-promenade,Lusail Marina Promenade,كورنيش مارينا لوسيل,park,waterfront promenade,Lusail,"Lusail Marina, near Place Vendome",0,0,free,Free,outdoor,N,Y,Y,Y,Y,walk-in,,,,"A long, tiled promenade with fountains that run at sunset and plenty of open space for scooters and bikes. Best in winter months.",قيد المراجعة,Exposed and windy — not great for toddlers with a dummy.,verified,2,Y,editorial seed — verify before publish
corniche-park,Doha Corniche,كورنيش الدوحة,park,waterfront promenade,Corniche,"West Bay to MIA, 7 km walk",0,0,free,Free,outdoor,N,Y,Y,Y,Y,walk-in,,,,"The classic 7 km Doha waterfront. Cycle lanes on the promenade, bike hire at several points, dhow trips from the middle section. Works for every age from strollers up.",قيد المراجعة,Parking is painful on National Day and NYE fireworks evenings.,verified,1,Y,editorial seed — verify before publish
dahl-al-hamam-park,Dahl Al Hamam Park,حديقة دحل الحمام,park,neighborhood park,Duhail,Al Duhail area,0,0,free,Free,outdoor,N,Y,Y,unknown,Y,walk-in,,,,"A deep natural sinkhole turned family park with a big playground, trails, and a small pond. Quieter than Aspire.",قيد المراجعة,Fewer cafes nearby — bring snacks.,verified,2,N,editorial seed — verify before publish
al-gharrafa-park,Al Gharrafa Park,حديقة الغرافة,park,neighborhood park,Gharrafa,Al Gharrafa area,0,0,free,Free,outdoor,N,Y,Y,unknown,Y,walk-in,,,,A long linear park through Gharrafa with play zones every few hundred metres. Good for families with kids of different ages — one play area doesn’t hold everyone.,قيد المراجعة,Limited parking at busy times; street-park on the side roads.,verifying,3,N,editorial seed — verify before publish
al-khor-park,Al Khor Park,حديقة الخور,park,large urban park,Al Khor,"Al Khor city, south side",0,0,low,QAR 5 entry,outdoor,N,Y,Y,Y,Y,walk-in,,,,"Big, green park with a small train, dolphin fountain, and a sprawling playground. Worth the drive if you live north of Lusail.",قيد المراجعة,Facilities are older; the toilets show their age.,verified,3,N,editorial seed — verify before publish
airport-garden,Hamad Airport Garden,حديقة مطار حمد,park,layover park,Old Airport,"Inside Hamad International, transit",0,0,free,Free with boarding pass,indoor,Y,Y,Y,Y,paid,walk-in,,,,"The indoor garden in the transit terminal — mostly a layover pick, but worth a mention if you’re on a long transit with kids.",قيد المراجعة,Transit only; not a day-out destination.,verifying,3,N,editorial seed — verify before publish
mia-museum,Museum of Islamic Art,متحف الفن الإسلامي,museum,art museum,Corniche,Corniche waterfront,48,0,low,Adults QAR 50; kids under 16 free,indoor,Y,Y,Y,Y,Y,online,mia.org.qa,,,Qatar’s landmark art museum. Family trails and the weekend kids’ workshop program make it work for ages 5+. The top-floor café has the best city view in Doha.,قيد المراجعة,Some galleries are quiet — bring headphones or a hushed 5-year-old.,verified,1,Y,editorial seed — verify before publish
mathaf,Mathaf: Arab Museum of Modern Art,متحف: المتحف العربي للفن الحديث,museum,art museum,Education City,"Education City, Al Luqta",60,0,low,Adults QAR 50; kids under 16 free,indoor,Y,Y,Y,Y,Y,online,mathaf.org.qa,,,"Modern Arab art in a converted school building, with a family Fridays programme aimed at ages 5–12. Smaller than MIA, easier on short attention spans.",قيد المراجعة,Shows rotate — check what’s up before you drive out.,verified,2,N,editorial seed — verify before publish
national-museum,National Museum of Qatar,متحف قطر الوطني,museum,national museum,Msheireb,"Corniche, near Souq Waqif",60,0,low,Adults QAR 50; kids under 16 free,indoor,Y,Y,Y,Y,Y,online,nmoq.org.qa,,,"A 1.5 km immersive walk through Qatar’s natural and social history, designed for all ages. The children’s museum wing is a highlight for ages 5–10.",قيد المراجعة,"Full loop is long — strollers make it manageable, but under-3s will fade.",verified,1,Y,editorial seed — verify before publish
msheireb-museums,Msheireb Museums,متاحف مشيرب,museum,heritage museums,Msheireb,Four heritage houses in Msheireb,72,0,free,Free,indoor,Y,Y,Y,Y,paid,walk-in,msheirebmuseums.com,,,"Four restored heritage houses covering slavery, family life, oil, and architecture in Qatar. Best for ages 7+ with a guide or family trail booklet.",قيد المراجعة,Heavier topics in parts — preview the slavery exhibit before taking under-8s.,verified,2,N,editorial seed — verify before publish
3-2-1-museum,3-2-1 Qatar Olympic & Sports Museum,متحف 3-2-1 قطر الأولمبي,museum,sports museum,Aspire,Khalifa International Stadium,48,0,low,Adults QAR 60; kids QAR 30,indoor,Y,Y,Y,Y,Y,online,321qosm.org.qa,,,"Interactive sports museum with hands-on stations (reaction tests, a climbing wall, a Paralympic simulator). Good for ages 5–14.",قيد المراجعة,Some interactive stations queue on weekends.,verified,2,Y,editorial seed — verify before publish
qnl,Qatar National Library,مكتبة قطر الوطنية,library,national library,Education City,Education City,0,0,free,Free,indoor,Y,Y,Y,Y,Y,walk-in,qnl.qa,,,"A dazzling Koolhaas-designed library with one of the best kids’ sections in the Gulf. Storytime weekly, plus school-holiday workshops. Free membership for residents.",قيد المراجعة,"Exam season (May, December) fills the quiet zones with teenagers.",verified,1,Y,editorial seed — verify before publish
katara-library,Katara Library,مكتبة كتارا,library,community library,Katara,"Building 10, Katara",24,0,free,Free,indoor,Y,Y,Y,N,Y,walk-in,,,,"A small, quiet library with an Arabic-first children’s corner. Drop-in on weekday mornings with a 2–5 year old and it feels like your own.",قيد المراجعة,Limited seating on Friday mornings during storytime.,verifying,3,N,editorial seed — verify before publish
wonderworks,Wonder Works,وندر ووركس,class-arts,creative space,Al Waab,Al Waab area — confirming,36,144,mid,Per-session; confirming,indoor,Y,Y,unknown,unknown,unknown,instagram,,@wonderworks.qa,,"Screen-free workshops for kids that lean into craft, presence and connection rather than play-for-play’s sake. Not a daycare, not a playground — worth a look for ages 3–12.",قيد المراجعة,New opening; book via Instagram to confirm.,verifying,1,Y,direct from wonderworks.qa; see yalla-kids-place-detail-wonderworks.html
olioli,OliOli Qatar,أوليولي قطر,soft-play,experiential children’s museum,Lusail,Lusail — confirming exact location,12,144,mid,Confirming pricing,indoor,Y,Y,unknown,unknown,unknown,online,,,,"A hands-on children’s play museum, with themed galleries for ages 1–12. If confirmed in Qatar, it would sit near the top of our weekend picks.",قيد المراجعة,Confirming Qatar operating status before publish.,verifying,1,Y,editorial seed — verify before publish
kidzmondo-doha,KidzMondo Doha,كيدزموندو الدوحة,theme-park,role-play city,Mall of Qatar area,"Mall of Qatar, Al Rayyan",36,168,high,QAR 150+ per child,indoor,Y,Y,Y,Y,Y,online,,,,"Indoor miniature city where kids play grown-up jobs — fire fighter, dentist, baker, pilot. Best experienced as a 4-hour block with ages 4–12.",قيد المراجعة,The parent area has limited seating; be ready to watch rather than sit.,verified,1,Y,editorial seed — verify before publish
angry-birds-world,Angry Birds World,عالم الطيور الغاضبة,theme-park,indoor theme park,Doha Festival City,"Doha Festival City, top floor",36,180,high,Multi-ride bundles from QAR 150,indoor,Y,Y,Y,Y,Y,online,,,,Indoor theme park with rides graded from toddler to teen. Weekday afternoons have short queues; weekends are a commitment.,قيد المراجعة,Height restrictions cut out some rides for under-110 cm — check before paying the bundle.,verified,2,Y,editorial seed — verify before publish
gondolania,Gondolania,غندولانيا,theme-park,mall theme park,Al Rayyan,Villaggio Mall,24,168,high,Pay per ride or bundle,indoor,Y,Y,Y,Y,Y,walk-in,,,,"The ice rink, mini bowling, and indoor coaster inside Villaggio. Works well as a 2-hour stop combined with lunch.",قيد المراجعة,Weekends get very loud in the coaster area.,verified,2,N,editorial seed — verify before publish
flipout-qatar,Flip Out Qatar,فليب آوت قطر,soft-play,trampoline park,Al Sadd,Al Sadd — confirming exact branch,36,216,mid,QAR 75 per hour,indoor,Y,Y,Y,Y,Y,online,,,,"Trampoline park with dodgeball, a foam pit and a dedicated toddler zone. Grip socks sold at entry.",قيد المراجعة,Loud and energetic — sensory-sensitive kids should visit at opening time.,verifying,2,N,editorial seed — verify before publish
sky-zone-qatar,Sky Zone Qatar,سكاي زون قطر,soft-play,trampoline park,Al Rayyan,Doha Oasis / confirming,48,216,mid,QAR 75–100 per hour,indoor,Y,Y,Y,Y,Y,online,,,,Trampoline arena with basketball dunk lanes and a Ninja Warrior course. Best for confident jumpers ages 7+.,قيد المراجعة,Toddlers are better served at Flip Out’s toddler zone.,verifying,3,N,editorial seed — verify before publish
wow-park,WOW Park Qatar,واو بارك قطر,soft-play,indoor adventure park,Al Rayyan,Mall of Qatar,36,156,mid,QAR 85 per child,indoor,Y,Y,Y,Y,Y,online,,,,"Big indoor adventure park with a ropes course, slides and a climbing tower. Ages 3+ with a separate toddler area.",قيد المراجعة,Socks required; QAR 15 if you forget them.,verifying,2,Y,editorial seed — verify before publish
doha-quest,Doha Quest,الدوحة كويست,theme-park,indoor amusement park,Lusail,"Doha Oasis, Msheireb area — confirming",48,0,high,Pay per ride or pass,indoor,Y,Y,Y,Y,Y,online,,,,"Qatar’s largest indoor theme park, with record-holding coasters. For thrill-seeker teens, this is the main event.",قيد المراجعة,Ticketing can be confusing — understand the pass tiers before arriving.,verifying,2,N,editorial seed — verify before publish
curiocity-qa,Curiocity Qatar,كيوريوسيتي قطر,theme-park,edutainment city,Lusail,Lusail Boulevard,48,144,high,Bundles from QAR 120,indoor,Y,Y,Y,Y,Y,online,,,,"Edutainment space where kids play real-world professions in miniature — newsroom, airport, clinic. Overlaps with KidzMondo; pick based on neighbourhood.",قيد المراجعة,Book a time slot — walk-ins wait at busy times.,verifying,2,N,editorial seed — verify before publish
villaggio-mall,Villaggio Mall,فيلاجيو,mall-play,mall with kids zones,Al Rayyan,Aspire Zone south,0,0,low,Entry free; rides/play paid,indoor,Y,Y,Y,Y,Y,walk-in,,,,"The Venice-themed mall with Gondolania inside. A reliable rainy-day combo of food court, ice rink and indoor coaster.",قيد المراجعة,Weekend afternoons are the peak for everything — aim for 10–11 am.,verified,2,N,editorial seed — verify before publish
mall-of-qatar,Mall of Qatar,مول قطر,mall-play,mall with kids zones,Al Rayyan,Near Al Rayyan Stadium,0,0,low,Entry free; play zones paid,indoor,Y,Y,Y,Y,Y,walk-in,,,,"Hosts KidzMondo, the Oasis cinema and a large food court. Good option when you need air-conditioned hours with mixed ages.",قيد المراجعة,Parking gets tight on weekend evenings.,verified,2,N,editorial seed — verify before publish
doha-festival-city,Doha Festival City,الدوحة فيستيفال سيتي,mall-play,mall with kids zones,Umm Salal,"North Doha, near Lusail",0,0,low,Entry free,indoor,Y,Y,Y,Y,Y,walk-in,,,,"Mall with Angry Birds World, Juniverse and Virtuocity under one roof. A solid rainy-day pick if you have mixed ages.",قيد المراجعة,The coaster inside Angry Birds World is noisy; not great for sensory-sensitive kids.,verified,2,N,editorial seed — verify before publish
place-vendome,Place Vendôme,پلاس فاندوم,mall-play,mall with fountains,Lusail,Lusail Marina,0,0,low,Entry free,mixed,Y,Y,Y,Y,Y,walk-in,,,,"Luxury mall with a large fountain show, outdoor canal and several family restaurants. The fountain show at sunset holds under-6s for 10 minutes.",قيد المراجعة,Limited kids-specific play — treat it as a sunset walk.,verified,3,N,editorial seed — verify before publish
landmark-mall,Landmark Mall,لاندمارك,mall-play,mall with kids zones,Gharrafa,"Al Gharrafa, near expressway",0,0,low,Entry free,indoor,Y,Y,Y,Y,Y,walk-in,,,,Older mall with a renovated family floor. Quieter than the big four; a good mid-week pick.,قيد المراجعة,Cinema schedule thin on weekdays.,verified,3,N,editorial seed — verify before publish
city-center-doha,City Center Doha,سيتي سنتر الدوحة,mall-play,mall with kids zones,West Bay,West Bay,0,0,low,Entry free,indoor,Y,Y,Y,Y,Y,walk-in,,,,City Center still has one of the better ice rinks and a solid Fun City arcade. Easy access from West Bay offices.,قيد المراجعة,Layout dated — plan routes with a stroller.,verified,3,N,editorial seed — verify before publish
lagoona-mall,Lagoona Mall,لاجونا مول,mall-play,small mall,West Bay,West Bay lagoon,0,0,low,Entry free,indoor,Y,Y,Y,Y,Y,walk-in,,,,"Small, quiet mall with a kids’ salon and a café upstairs that’s friendly to buggies.",قيد المراجعة,Not a destination — pair with a walk along the Corniche.,verifying,3,N,editorial seed — verify before publish
tawar-mall,Tawar Mall,تور مول,mall-play,community mall,Duhail,"Duhail, North Doha",0,0,low,Entry free,indoor,Y,Y,Y,Y,Y,walk-in,,,,Community mall with a large indoor play centre and a trampoline zone. Strong local following in the north.,قيد المراجعة,Tight car park at school run times.,verifying,3,N,editorial seed — verify before publish
funderdome-pearl,Funderdome Pearl,قيد المراجعة,soft-play,indoor play centre,The Pearl,Medina Centrale piazza,12,144,mid,QAR 65–95 per visit — verifying,indoor,Y,Y,Y,Y,Y,walk-in,,,,Neighborhood indoor play centre — candidate listing pending editor visit.,قيد المراجعة,"Confirm session length, drop-off policy and socks requirement before visit.",placeholder,3,N,editorial seed — verify before publish
funderdome-waab,Funderdome Al Waab,قيد المراجعة,soft-play,indoor play centre,Al Waab,Al Waab St,12,144,mid,QAR 65–95 per visit — verifying,indoor,Y,Y,Y,Y,Y,walk-in,,,,Neighborhood indoor play centre — candidate listing pending editor visit.,قيد المراجعة,"Confirm session length, drop-off policy and socks requirement before visit.",placeholder,3,N,editorial seed — verify before publish
cheeky-monkeys-pearl,Cheeky Monkeys Pearl,قيد المراجعة,soft-play,indoor play centre,The Pearl,Porto Arabia,12,144,mid,QAR 65–95 per visit — verifying,indoor,Y,Y,Y,Y,Y,walk-in,,,,Neighborhood indoor play centre — candidate listing pending editor visit.,قيد المراجعة,"Confirm session length, drop-off policy and socks requirement before visit.",placeholder,3,N,editorial seed — verify before publish
cheeky-monkeys-lusail,Cheeky Monkeys Lusail,قيد المراجعة,soft-play,indoor play centre,Lusail,Lusail Marina,12,144,mid,QAR 65–95 per visit — verifying,indoor,Y,Y,Y,Y,Y,walk-in,,,,Neighborhood indoor play centre — candidate listing pending editor visit.,قيد المراجعة,"Confirm session length, drop-off policy and socks requirement before visit.",placeholder,3,N,editorial seed — verify before publish
kidzania-style-a,Playland Doha,قيد المراجعة,soft-play,indoor play centre,Al Sadd,Al Sadd ring road,12,144,mid,QAR 65–95 per visit — verifying,indoor,Y,Y,Y,Y,Y,walk-in,,,,Neighborhood indoor play centre — candidate listing pending editor visit.,قيد المراجعة,"Confirm session length, drop-off policy and socks requirement before visit.",placeholder,3,N,editorial seed — verify before publish
bounce-qatar,Bounce Qatar,قيد المراجعة,soft-play,indoor play centre,Al Waab,Aspire area,12,144,mid,QAR 65–95 per visit — verifying,indoor,Y,Y,Y,Y,Y,walk-in,,,,Neighborhood indoor play centre — candidate listing pending editor visit.,قيد المراجعة,"Confirm session length, drop-off policy and socks requirement before visit.",placeholder,3,N,editorial seed — verify before publish
jump-in,Jump In Doha,قيد المراجعة,soft-play,indoor play centre,Al Rayyan,Mall of Qatar area,12,144,mid,QAR 65–95 per visit — verifying,indoor,Y,Y,Y,Y,Y,walk-in,,,,Neighborhood indoor play centre — candidate listing pending editor visit.,قيد المراجعة,"Confirm session length, drop-off policy and socks requirement before visit.",placeholder,3,N,editorial seed — verify before publish
ziplandia,Ziplandia,قيد المراجعة,soft-play,indoor play centre,Lusail,Doha Oasis / confirming,12,144,mid,QAR 65–95 per visit — verifying,indoor,Y,Y,Y,Y,Y,walk-in,,,,Neighborhood indoor play centre — candidate listing pending editor visit.,قيد المراجعة,"Confirm session length, drop-off policy and socks requirement before visit.",placeholder,3,N,editorial seed — verify before publish
toddler-town-duhail,Toddler Town,قيد المراجعة,soft-play,indoor play centre,Duhail,Tawar Mall,12,144,mid,QAR 65–95 per visit — verifying,indoor,Y,Y,Y,Y,Y,walk-in,,,,Neighborhood indoor play centre — candidate listing pending editor visit.,قيد المراجعة,"Confirm session length, drop-off policy and socks requirement before visit.",placeholder,3,N,editorial seed — verify before publish
play-yard,PlayYard Indoor,قيد المراجعة,soft-play,indoor play centre,Gharrafa,Landmark Mall,12,144,mid,QAR 65–95 per visit — verifying,indoor,Y,Y,Y,Y,Y,walk-in,,,,Neighborhood indoor play centre — candidate listing pending editor visit.,قيد المراجعة,"Confirm session length, drop-off policy and socks requirement before visit.",placeholder,3,N,editorial seed — verify before publish
little-world,Little World,قيد المراجعة,soft-play,indoor play centre,West Bay,City Center,12,144,mid,QAR 65–95 per visit — verifying,indoor,Y,Y,Y,Y,Y,walk-in,,,,Neighborhood indoor play centre — candidate listing pending editor visit.,قيد المراجعة,"Confirm session length, drop-off policy and socks requirement before visit.",placeholder,3,N,editorial seed — verify before publish
play-doh-land,Play-Doh Land,قيد المراجعة,soft-play,indoor play centre,Al Dafna,Dafna tower,12,144,mid,QAR 65–95 per visit — verifying,indoor,Y,Y,Y,Y,Y,walk-in,,,,Neighborhood indoor play centre — candidate listing pending editor visit.,قيد المراجعة,"Confirm session length, drop-off policy and socks requirement before visit.",placeholder,3,N,editorial seed — verify before publish
mini-masters,Mini Masters,قيد المراجعة,soft-play,indoor play centre,Ain Khalid,Ain Khalid,12,144,mid,QAR 65–95 per visit — verifying,indoor,Y,Y,Y,Y,Y,walk-in,,,,Neighborhood indoor play centre — candidate listing pending editor visit.,قيد المراجعة,"Confirm session length, drop-off policy and socks requirement before visit.",placeholder,3,N,editorial seed — verify before publish
wiggles-indoor,Wiggles Indoor,قيد المراجعة,soft-play,indoor play centre,Al Sadd,Al Sadd area,12,144,mid,QAR 65–95 per visit — verifying,indoor,Y,Y,Y,Y,Y,walk-in,,,,Neighborhood indoor play centre — candidate listing pending editor visit.,قيد المراجعة,"Confirm session length, drop-off policy and socks requirement before visit.",placeholder,3,N,editorial seed — verify before publish
adventure-zone,Adventure Zone,قيد المراجعة,soft-play,indoor play centre,Al Rayyan,Mall of Qatar,12,144,mid,QAR 65–95 per visit — verifying,indoor,Y,Y,Y,Y,Y,walk-in,,,,Neighborhood indoor play centre — candidate listing pending editor visit.,قيد المراجعة,"Confirm session length, drop-off policy and socks requirement before visit.",placeholder,3,N,editorial seed — verify before publish
play-pad,Play Pad Qatar,قيد المراجعة,soft-play,indoor play centre,Old Airport,Old Airport road,12,144,mid,QAR 65–95 per visit — verifying,indoor,Y,Y,Y,Y,Y,walk-in,,,,Neighborhood indoor play centre — candidate listing pending editor visit.,قيد المراجعة,"Confirm session length, drop-off policy and socks requirement before visit.",placeholder,3,N,editorial seed — verify before publish
fun-town-pearl,Fun Town Pearl,قيد المراجعة,soft-play,indoor play centre,The Pearl,Medina Centrale,12,144,mid,QAR 65–95 per visit — verifying,indoor,Y,Y,Y,Y,Y,walk-in,,,,Neighborhood indoor play centre — candidate listing pending editor visit.,قيد المراجعة,"Confirm session length, drop-off policy and socks requirement before visit.",placeholder,3,N,editorial seed — verify before publish
xplore-rayyan,Xplore Play,قيد المراجعة,soft-play,indoor play centre,Al Rayyan,Al Rayyan,12,144,mid,QAR 65–95 per visit — verifying,indoor,Y,Y,Y,Y,Y,walk-in,,,,Neighborhood indoor play centre — candidate listing pending editor visit.,قيد المراجعة,"Confirm session length, drop-off policy and socks requirement before visit.",placeholder,3,N,editorial seed — verify before publish
rainbow-room,Rainbow Room,قيد المراجعة,soft-play,indoor play centre,Al Thumama,Al Thumama,12,144,mid,QAR 65–95 per visit — verifying,indoor,Y,Y,Y,Y,Y,walk-in,,,,Neighborhood indoor play centre — candidate listing pending editor visit.,قيد المراجعة,"Confirm session length, drop-off policy and socks requirement before visit.",placeholder,3,N,editorial seed — verify before publish
toddlers-corner,Toddlers Corner,قيد المراجعة,soft-play,indoor play centre,Duhail,Duhail,12,144,mid,QAR 65–95 per visit — verifying,indoor,Y,Y,Y,Y,Y,walk-in,,,,Neighborhood indoor play centre — candidate listing pending editor visit.,قيد المراجعة,"Confirm session length, drop-off policy and socks requirement before visit.",placeholder,3,N,editorial seed — verify before publish
