id,name_en,name_ar,category,subcategory,neighborhood,address_hint,age_min,age_max,price_tier,price_note,indoor_outdoor,ac,stroller,prayer_room,halal,parking,booking,website,instagram,phone_pattern,blurb_en,blurb_ar,honest_note,status,editorial_priority,featured_candidate,source_note
jumpy-joes,Jumpy Joe’s,قيد المراجعة,soft-play,indoor play centre,Al Wakra,Al Wakra,12,144,mid,QAR 65–95 per visit — verifying,indoor,Y,Y,Y,Y,Y,walk-in,,,,Neighborhood indoor play centre — candidate listing pending editor visit.,قيد المراجعة,"Confirm session length, drop-off policy and socks requirement before visit.",placeholder,3,N,editorial seed — verify before publish
sparkle-kids,Sparkle Kids,قيد المراجعة,soft-play,indoor play centre,Al Khor,Al Khor,12,144,mid,QAR 65–95 per visit — verifying,indoor,Y,Y,Y,Y,Y,walk-in,,,,Neighborhood indoor play centre — candidate listing pending editor visit.,قيد المراجعة,"Confirm session length, drop-off policy and socks requirement before visit.",placeholder,3,N,editorial seed — verify before publish
kids-arena,Kids Arena Doha,قيد المراجعة,soft-play,indoor play centre,Gharrafa,Gharrafa,12,144,mid,QAR 65–95 per visit — verifying,indoor,Y,Y,Y,Y,Y,walk-in,,,,Neighborhood indoor play centre — candidate listing pending editor visit.,قيد المراجعة,"Confirm session length, drop-off policy and socks requirement before visit.",placeholder,3,N,editorial seed — verify before publish
play-hub-lusail,Play Hub Lusail,قيد المراجعة,soft-play,indoor play centre,Lusail,Lusail,12,144,mid,QAR 65–95 per visit — verifying,indoor,Y,Y,Y,Y,Y,walk-in,,,,Neighborhood indoor play centre — candidate listing pending editor visit.,قيد المراجعة,"Confirm session length, drop-off policy and socks requirement before visit.",placeholder,3,N,editorial seed — verify before publish
little-explorers,Little Explorers Doha,قيد المراجعة,soft-play,indoor play centre,The Pearl,Porto Arabia,12,144,mid,QAR 65–95 per visit — verifying,indoor,Y,Y,Y,Y,Y,walk-in,,,,Neighborhood indoor play centre — candidate listing pending editor visit.,قيد المراجعة,"Confirm session length, drop-off policy and socks requirement before visit.",placeholder,3,N,editorial seed — verify before publish
katara-art-studios,Katara Art Studios,قيد المراجعة,class-arts,art & ceramics,Katara,Katara Building 19,36,168,mid,Per-term or drop-in; confirming,indoor,Y,partial,unknown,unknown,Y,online,,,,Art & ceramics classes for school-age kids — candidate listing pending editor outreach.,قيد المراجعة,Confirm term dates and trial-class policy before enrolling.,placeholder,3,N,editorial seed — verify before publish
fire-station-residency,Fire Station Kids Workshops,قيد المراجعة,class-arts,visual arts,Msheireb,Fire Station residency,36,168,mid,Per-term or drop-in; confirming,indoor,Y,partial,unknown,unknown,Y,online,,,,Visual arts classes for school-age kids — candidate listing pending editor outreach.,قيد المراجعة,Confirm term dates and trial-class policy before enrolling.,placeholder,3,N,editorial seed — verify before publish
virginia-commonwealth-kids,VCUarts Qatar Family Sundays,قيد المراجعة,class-arts,visual arts,Education City,VCUarts campus,36,168,mid,Per-term or drop-in; confirming,indoor,Y,partial,unknown,unknown,Y,online,,,,Visual arts classes for school-age kids — candidate listing pending editor outreach.,قيد المراجعة,Confirm term dates and trial-class policy before enrolling.,placeholder,3,N,editorial seed — verify before publish
lego-education-center,Lego Education Center,قيد المراجعة,class-stem,robotics,Al Sadd,Al Sadd,36,168,mid,Per-term or drop-in; confirming,indoor,Y,partial,unknown,unknown,Y,online,,,,Robotics classes for school-age kids — candidate listing pending editor outreach.,قيد المراجعة,Confirm term dates and trial-class policy before enrolling.,placeholder,3,N,editorial seed — verify before publish
coder-kids-qa,Coder Kids Qatar,قيد المراجعة,class-stem,coding,West Bay,West Bay tower,36,168,mid,Per-term or drop-in; confirming,indoor,Y,partial,unknown,unknown,Y,online,,,,Coding classes for school-age kids — candidate listing pending editor outreach.,قيد المراجعة,Confirm term dates and trial-class policy before enrolling.,placeholder,3,N,editorial seed — verify before publish
little-engineers,Little Engineers Doha,قيد المراجعة,class-stem,engineering,The Pearl,Medina Centrale,36,168,mid,Per-term or drop-in; confirming,indoor,Y,partial,unknown,unknown,Y,online,,,,Engineering classes for school-age kids — candidate listing pending editor outreach.,قيد المراجعة,Confirm term dates and trial-class policy before enrolling.,placeholder,3,N,editorial seed — verify before publish
doodlebug-art,Doodlebug Art Studio,قيد المراجعة,class-arts,art,Gharrafa,Landmark area,36,168,mid,Per-term or drop-in; confirming,indoor,Y,partial,unknown,unknown,Y,online,,,,Art classes for school-age kids — candidate listing pending editor outreach.,قيد المراجعة,Confirm term dates and trial-class policy before enrolling.,placeholder,3,N,editorial seed — verify before publish
strings-music-school,Strings Music School,قيد المراجعة,class-music,strings & piano,Al Sadd,Al Sadd,36,168,mid,Per-term or drop-in; confirming,indoor,Y,partial,unknown,unknown,Y,online,,,,Strings & piano classes for school-age kids — candidate listing pending editor outreach.,قيد المراجعة,Confirm term dates and trial-class policy before enrolling.,placeholder,3,N,editorial seed — verify before publish
doha-music-school,Doha Music School,قيد المراجعة,class-music,"piano, guitar",Al Dafna,Al Dafna,36,168,mid,Per-term or drop-in; confirming,indoor,Y,partial,unknown,unknown,Y,online,,,,"Piano, guitar classes for school-age kids — candidate listing pending editor outreach.",قيد المراجعة,Confirm term dates and trial-class policy before enrolling.,placeholder,3,N,editorial seed — verify before publish
little-maestros,Little Maestros,قيد المراجعة,class-music,baby & toddler music,The Pearl,Porto Arabia,36,168,mid,Per-term or drop-in; confirming,indoor,Y,partial,unknown,unknown,Y,online,,,,Baby & toddler music classes for school-age kids — candidate listing pending editor outreach.,قيد المراجعة,Confirm term dates and trial-class policy before enrolling.,placeholder,3,N,editorial seed — verify before publish
painting-academy-qa,Painting Academy Doha,قيد المراجعة,class-arts,fine art,Al Waab,Al Waab,36,168,mid,Per-term or drop-in; confirming,indoor,Y,partial,unknown,unknown,Y,online,,,,Fine art classes for school-age kids — candidate listing pending editor outreach.,قيد المراجعة,Confirm term dates and trial-class policy before enrolling.,placeholder,3,N,editorial seed — verify before publish
mindflips,MindFlips Chess Academy,قيد المراجعة,class-stem,chess,Gharrafa,Gharrafa,36,168,mid,Per-term or drop-in; confirming,indoor,Y,partial,unknown,unknown,Y,online,,,,Chess classes for school-age kids — candidate listing pending editor outreach.,قيد المراجعة,Confirm term dates and trial-class policy before enrolling.,placeholder,3,N,editorial seed — verify before publish
robotix-academy,Robotix Academy,قيد المراجعة,class-stem,robotics,Education City,Education City,36,168,mid,Per-term or drop-in; confirming,indoor,Y,partial,unknown,unknown,Y,online,,,,Robotics classes for school-age kids — candidate listing pending editor outreach.,قيد المراجعة,Confirm term dates and trial-class policy before enrolling.,placeholder,3,N,editorial seed — verify before publish
coding-lab-qa,The Coding Lab,قيد المراجعة,class-stem,coding,The Pearl,The Pearl,36,168,mid,Per-term or drop-in; confirming,indoor,Y,partial,unknown,unknown,Y,online,,,,Coding classes for school-age kids — candidate listing pending editor outreach.,قيد المراجعة,Confirm term dates and trial-class policy before enrolling.,placeholder,3,N,editorial seed — verify before publish
young-chef-academy,Young Chef Academy,قيد المراجعة,class-arts,cooking,Al Sadd,Al Sadd,36,168,mid,Per-term or drop-in; confirming,indoor,Y,partial,unknown,unknown,Y,online,,,,Cooking classes for school-age kids — candidate listing pending editor outreach.,قيد المراجعة,Confirm term dates and trial-class policy before enrolling.,placeholder,3,N,editorial seed — verify before publish
pottery-place,The Pottery Place,قيد المراجعة,class-arts,ceramics,Katara,Katara,36,168,mid,Per-term or drop-in; confirming,indoor,Y,partial,unknown,unknown,Y,online,,,,Ceramics classes for school-age kids — candidate listing pending editor outreach.,قيد المراجعة,Confirm term dates and trial-class policy before enrolling.,placeholder,3,N,editorial seed — verify before publish
art-story,Art Story Studio,قيد المراجعة,class-arts,mixed media,Al Dafna,Al Dafna,36,168,mid,Per-term or drop-in; confirming,indoor,Y,partial,unknown,unknown,Y,online,,,,Mixed media classes for school-age kids — candidate listing pending editor outreach.,قيد المراجعة,Confirm term dates and trial-class policy before enrolling.,placeholder,3,N,editorial seed — verify before publish
qatar-photography-kids,Qatar Photography Society Kids,قيد المراجعة,class-arts,photography,Katara,Katara building,36,168,mid,Per-term or drop-in; confirming,indoor,Y,partial,unknown,unknown,Y,online,,,,Photography classes for school-age kids — candidate listing pending editor outreach.,قيد المراجعة,Confirm term dates and trial-class policy before enrolling.,placeholder,3,N,editorial seed — verify before publish
ballet-qa-kids,Ballet Qatar Junior,قيد المراجعة,class-arts,ballet,Al Sadd,Al Sadd,36,168,mid,Per-term or drop-in; confirming,indoor,Y,partial,unknown,unknown,Y,online,,,,Ballet classes for school-age kids — candidate listing pending editor outreach.,قيد المراجعة,Confirm term dates and trial-class policy before enrolling.,placeholder,3,N,editorial seed — verify before publish
studio23-kids,Studio 23 Kids,قيد المراجعة,class-arts,painting,The Pearl,Porto Arabia,36,168,mid,Per-term or drop-in; confirming,indoor,Y,partial,unknown,unknown,Y,online,,,,Painting classes for school-age kids — candidate listing pending editor outreach.,قيد المراجعة,Confirm term dates and trial-class policy before enrolling.,placeholder,3,N,editorial seed — verify before publish
mosaic-kids-atelier,Mosaic Kids Atelier,قيد المراجعة,class-arts,mosaic,Msheireb,Msheireb,36,168,mid,Per-term or drop-in; confirming,indoor,Y,partial,unknown,unknown,Y,online,,,,Mosaic classes for school-age kids — candidate listing pending editor outreach.,قيد المراجعة,Confirm term dates and trial-class policy before enrolling.,placeholder,3,N,editorial seed — verify before publish
genius-lab-qatar,Genius Lab Qatar,قيد المراجعة,class-stem,STEM camps,West Bay,West Bay,36,168,mid,Per-term or drop-in; confirming,indoor,Y,partial,unknown,unknown,Y,online,,,,Stem camps classes for school-age kids — candidate listing pending editor outreach.,قيد المراجعة,Confirm term dates and trial-class policy before enrolling.,placeholder,3,N,editorial seed — verify before publish
curiosity-kids-lab,Curiosity Kids Lab,قيد المراجعة,class-stem,science,Al Waab,Al Waab,36,168,mid,Per-term or drop-in; confirming,indoor,Y,partial,unknown,unknown,Y,online,,,,Science classes for school-age kids — candidate listing pending editor outreach.,قيد المراجعة,Confirm term dates and trial-class policy before enrolling.,placeholder,3,N,editorial seed — verify before publish
storyteller-club,The Storyteller Club,قيد المراجعة,class-arts,creative writing,Education City,Education City,36,168,mid,Per-term or drop-in; confirming,indoor,Y,partial,unknown,unknown,Y,online,,,,Creative writing classes for school-age kids — candidate listing pending editor outreach.,قيد المراجعة,Confirm term dates and trial-class policy before enrolling.,placeholder,3,N,editorial seed — verify before publish
drama-kids-qa,Drama Kids Doha,قيد المراجعة,class-arts,theatre,Al Sadd,Al Sadd,36,168,mid,Per-term or drop-in; confirming,indoor,Y,partial,unknown,unknown,Y,online,,,,Theatre classes for school-age kids — candidate listing pending editor outreach.,قيد المراجعة,Confirm term dates and trial-class policy before enrolling.,placeholder,3,N,editorial seed — verify before publish
aspire-junior-academy,Aspire Junior Academy,قيد المراجعة,class-sports,multi-sport,Aspire,Aspire Academy,36,168,mid,Per-term or per-session; confirming,indoor,partial,partial,Y,Y,Y,online,,,,Multi-sport program — candidate listing pending editor outreach.,قيد المراجعة,Confirm age bands and trial-class availability before enrolling.,placeholder,3,N,editorial seed — verify before publish
qf-sports-club-kids,QF Sports Club Kids,قيد المراجعة,class-sports,multi-sport,Education City,Education City,36,168,mid,Per-term or per-session; confirming,indoor,partial,partial,Y,Y,Y,online,,,,Multi-sport program — candidate listing pending editor outreach.,قيد المراجعة,Confirm age bands and trial-class availability before enrolling.,placeholder,3,N,editorial seed — verify before publish
qatar-tennis-federation-junior,QTF Junior Tennis,قيد المراجعة,class-sports,tennis,Aspire,Khalifa Tennis Complex,36,168,mid,Per-term or per-session; confirming,indoor,partial,partial,Y,Y,Y,online,,,,Tennis program — candidate listing pending editor outreach.,قيد المراجعة,Confirm age bands and trial-class availability before enrolling.,placeholder,3,N,editorial seed — verify before publish
emerald-football-academy,Emerald Football Academy,قيد المراجعة,class-sports,football,Al Waab,Al Waab,36,168,mid,Per-term or per-session; confirming,outdoor,partial,partial,Y,Y,Y,online,,,,Football program — candidate listing pending editor outreach.,قيد المراجعة,Confirm age bands and trial-class availability before enrolling.,placeholder,3,N,editorial seed — verify before publish
doha-football-academy,Doha Football Academy,قيد المراجعة,class-sports,football,Al Sadd,Al Sadd,36,168,mid,Per-term or per-session; confirming,outdoor,partial,partial,Y,Y,Y,online,,,,Football program — candidate listing pending editor outreach.,قيد المراجعة,Confirm age bands and trial-class availability before enrolling.,placeholder,3,N,editorial seed — verify before publish
barca-academy-qa,Barça Academy Qatar,قيد المراجعة,class-sports,football,Aspire,Aspire,36,168,mid,Per-term or per-session; confirming,outdoor,partial,partial,Y,Y,Y,online,,,,Football program — candidate listing pending editor outreach.,قيد المراجعة,Confirm age bands and trial-class availability before enrolling.,placeholder,3,N,editorial seed — verify before publish
qatar-swim-academy,Qatar Swim Academy,قيد المراجعة,swim,swim,Al Sadd,Al Sadd,36,168,mid,Per-term or per-session; confirming,indoor,Y,partial,Y,Y,Y,online,,,,Swim program — candidate listing pending editor outreach.,قيد المراجعة,Confirm age bands and trial-class availability before enrolling.,placeholder,3,N,editorial seed — verify before publish
aquakids-qa,AquaKids Qatar,قيد المراجعة,swim,swim,The Pearl,Porto Arabia,36,168,mid,Per-term or per-session; confirming,indoor,Y,partial,Y,Y,Y,online,,,,Swim program — candidate listing pending editor outreach.,قيد المراجعة,Confirm age bands and trial-class availability before enrolling.,placeholder,3,N,editorial seed — verify before publish
splash-swim-school,Splash Swim School,قيد المراجعة,swim,swim,Al Dafna,Al Dafna,36,168,mid,Per-term or per-session; confirming,indoor,Y,partial,Y,Y,Y,online,,,,Swim program — candidate listing pending editor outreach.,قيد المراجعة,Confirm age bands and trial-class availability before enrolling.,placeholder,3,N,editorial seed — verify before publish
happy-fish-swim,Happy Fish Swim,قيد المراجعة,swim,swim,Al Rayyan,Al Rayyan,36,168,mid,Per-term or per-session; confirming,indoor,Y,partial,Y,Y,Y,online,,,,Swim program — candidate listing pending editor outreach.,قيد المراجعة,Confirm age bands and trial-class availability before enrolling.,placeholder,3,N,editorial seed — verify before publish
doha-golf-club-juniors,Doha Golf Club Juniors,قيد المراجعة,class-sports,golf,West Bay,Doha Golf Club,36,168,mid,Per-term or per-session; confirming,indoor,partial,partial,Y,Y,Y,online,,,,Golf program — candidate listing pending editor outreach.,قيد المراجعة,Confirm age bands and trial-class availability before enrolling.,placeholder,3,N,editorial seed — verify before publish
kids-tennis-qa,Kids Tennis Qatar,قيد المراجعة,class-sports,tennis,West Bay,West Bay,36,168,mid,Per-term or per-session; confirming,indoor,partial,partial,Y,Y,Y,online,,,,Tennis program — candidate listing pending editor outreach.,قيد المراجعة,Confirm age bands and trial-class availability before enrolling.,placeholder,3,N,editorial seed — verify before publish
racquet-kids,Racquet Kids,قيد المراجعة,class-sports,tennis & squash,Al Sadd,Al Sadd,36,168,mid,Per-term or per-session; confirming,indoor,partial,partial,Y,Y,Y,online,,,,Tennis & squash program — candidate listing pending editor outreach.,قيد المراجعة,Confirm age bands and trial-class availability before enrolling.,placeholder,3,N,editorial seed — verify before publish
doha-gymnastics,Doha Gymnastics,قيد المراجعة,class-sports,gymnastics,Al Waab,Al Waab,36,168,mid,Per-term or per-session; confirming,indoor,partial,partial,Y,Y,Y,online,,,,Gymnastics program — candidate listing pending editor outreach.,قيد المراجعة,Confirm age bands and trial-class availability before enrolling.,placeholder,3,N,editorial seed — verify before publish
little-gym-qa,The Little Gym Qatar,قيد المراجعة,class-sports,gymnastics,The Pearl,Medina Centrale,36,168,mid,Per-term or per-session; confirming,indoor,partial,partial,Y,Y,Y,online,,,,Gymnastics program — candidate listing pending editor outreach.,قيد المراجعة,Confirm age bands and trial-class availability before enrolling.,placeholder,3,N,editorial seed — verify before publish
martial-arts-academy-qa,Martial Arts Academy Qatar,قيد المراجعة,class-sports,karate & jiu-jitsu,Al Sadd,Al Sadd,36,168,mid,Per-term or per-session; confirming,indoor,partial,partial,Y,Y,Y,online,,,,Karate & jiu-jitsu program — candidate listing pending editor outreach.,قيد المراجعة,Confirm age bands and trial-class availability before enrolling.,placeholder,3,N,editorial seed — verify before publish
karate-kids-qa,Karate Kids Qatar,قيد المراجعة,class-sports,karate,Gharrafa,Gharrafa,36,168,mid,Per-term or per-session; confirming,indoor,partial,partial,Y,Y,Y,online,,,,Karate program — candidate listing pending editor outreach.,قيد المراجعة,Confirm age bands and trial-class availability before enrolling.,placeholder,3,N,editorial seed — verify before publish
taekwondo-academy-qa,Taekwondo Academy Qatar,قيد المراجعة,class-sports,taekwondo,Al Rayyan,Al Rayyan,36,168,mid,Per-term or per-session; confirming,indoor,partial,partial,Y,Y,Y,online,,,,Taekwondo program — candidate listing pending editor outreach.,قيد المراجعة,Confirm age bands and trial-class availability before enrolling.,placeholder,3,N,editorial seed — verify before publish
doha-pony-club,Doha Pony Club,قيد المراجعة,class-sports,horse riding,Al Khor,Al Khor,36,168,mid,Per-term or per-session; confirming,indoor,partial,partial,Y,Y,Y,online,,,,Horse riding program — candidate listing pending editor outreach.,قيد المراجعة,Confirm age bands and trial-class availability before enrolling.,placeholder,3,N,editorial seed — verify before publish
al-shaqab-junior,Al Shaqab Junior Equestrian,قيد المراجعة,class-sports,horse riding,Education City,Al Shaqab,36,168,mid,Per-term or per-session; confirming,indoor,partial,partial,Y,Y,Y,online,,,,Horse riding program — candidate listing pending editor outreach.,قيد المراجعة,Confirm age bands and trial-class availability before enrolling.,placeholder,3,N,editorial seed — verify before publish
qatar-basketball-academy,Qatar Basketball Academy,قيد المراجعة,class-sports,basketball,Aspire,Aspire,36,168,mid,Per-term or per-session; confirming,indoor,partial,partial,Y,Y,Y,online,,,,Basketball program — candidate listing pending editor outreach.,قيد المراجعة,Confirm age bands and trial-class availability before enrolling.,placeholder,3,N,editorial seed — verify before publish
hoops-qa,Hoops Qatar,قيد المراجعة,class-sports,basketball,The Pearl,The Pearl,36,168,mid,Per-term or per-session; confirming,indoor,partial,partial,Y,Y,Y,online,,,,Basketball program — candidate listing pending editor outreach.,قيد المراجعة,Confirm age bands and trial-class availability before enrolling.,placeholder,3,N,editorial seed — verify before publish
skate-qatar-juniors,Skate Qatar Juniors,قيد المراجعة,class-sports,skateboarding,Corniche,Al Bidda skate park,36,168,mid,Per-term or per-session; confirming,indoor,partial,partial,Y,Y,Y,online,,,,Skateboarding program — candidate listing pending editor outreach.,قيد المراجعة,Confirm age bands and trial-class availability before enrolling.,placeholder,3,N,editorial seed — verify before publish
bmx-doha-juniors,BMX Doha Juniors,قيد المراجعة,class-sports,BMX,Corniche,Al Bidda pump track,36,168,mid,Per-term or per-session; confirming,indoor,partial,partial,Y,Y,Y,online,,,,Bmx program — candidate listing pending editor outreach.,قيد المراجعة,Confirm age bands and trial-class availability before enrolling.,placeholder,3,N,editorial seed — verify before publish
parkour-academy-qa,Parkour Academy Qatar,قيد المراجعة,class-sports,parkour,Aspire,Aspire area,36,168,mid,Per-term or per-session; confirming,indoor,partial,partial,Y,Y,Y,online,,,,Parkour program — candidate listing pending editor outreach.,قيد المراجعة,Confirm age bands and trial-class availability before enrolling.,placeholder,3,N,editorial seed — verify before publish
al-thakira-mangroves,Al Thakira Mangroves,قيد المراجعة,nature,mangrove kayaking,Al Khor,Al Thakira coast,0,0,free,Free access; kayak rentals ~QAR 100,outdoor,N,partial,unknown,unknown,Y,walk-in,,,,"Mangrove kayaking — verify access, hours and safety conditions before the drive.",قيد المراجعة,"Remote site — bring water, sun protection, and phone coverage offline maps.",verifying,3,N,editorial seed — verify before publish
khor-al-adaid,Khor Al Adaid Inland Sea,قيد المراجعة,nature,desert & inland sea,Southern Qatar,Inland Sea — 4x4 access,0,0,verifying,Tour required; QAR 250+ per adult,outdoor,N,partial,unknown,unknown,Y,online,,,,"Desert & inland sea — verify access, hours and safety conditions before the drive.",قيد المراجعة,"Remote site — bring water, sun protection, and phone coverage offline maps.",verifying,3,N,editorial seed — verify before publish
sealine-beach,Sealine Beach Resort,قيد المراجعة,beach,desert resort,Southern Qatar,Sealine,0,0,mid,Day pass from QAR 100 per adult,outdoor,N,partial,unknown,unknown,Y,online,,,,"Desert resort — verify access, hours and safety conditions before the drive.",قيد المراجعة,"Remote site — bring water, sun protection, and phone coverage offline maps.",verifying,2,N,editorial seed — verify before publish
fuwairit-beach,Fuwairit Beach,قيد المراجعة,beach,turtle nesting beach,Al Khor,Fuwairit village,0,0,free,Free,outdoor,N,partial,unknown,unknown,Y,walk-in,,,,"Turtle nesting beach — verify access, hours and safety conditions before the drive.",قيد المراجعة,"Remote site — bring water, sun protection, and phone coverage offline maps.",verifying,2,N,editorial seed — verify before publish
ras-abu-aboud-park,Ras Abu Aboud 974 Park,قيد المراجعة,park,waterfront park,Ras Abu Aboud,Ras Abu Aboud,0,0,free,Free,outdoor,N,partial,unknown,unknown,Y,walk-in,,,,"Waterfront park — verify access, hours and safety conditions before the drive.",قيد المراجعة,"Remote site — bring water, sun protection, and phone coverage offline maps.",verifying,3,N,editorial seed — verify before publish
umm-al-amad,Umm Al Amad Farm,قيد المراجعة,farm,dairy farm visits,Al Khor,North Qatar,0,0,verifying,Booking required,outdoor,N,partial,unknown,unknown,Y,online,,,,"Dairy farm visits — verify access, hours and safety conditions before the drive.",قيد المراجعة,"Remote site — bring water, sun protection, and phone coverage offline maps.",verifying,3,N,editorial seed — verify before publish
al-shahaniya-camel,Al Shahaniya Camel Track,قيد المراجعة,farm,camel racing,Al Rayyan,Al Shahaniya,0,0,free,Free to watch,outdoor,N,partial,unknown,unknown,Y,walk-in,,,,"Camel racing — verify access, hours and safety conditions before the drive.",قيد المراجعة,"Remote site — bring water, sun protection, and phone coverage offline maps.",verifying,3,N,editorial seed — verify before publish
zekreet,Zekreet Peninsula,قيد المراجعة,nature,desert rock formations,Dukhan,West coast,0,0,free,Free; 4x4 advised,outdoor,N,partial,unknown,unknown,Y,walk-in,,,,"Desert rock formations — verify access, hours and safety conditions before the drive.",قيد المراجعة,"Remote site — bring water, sun protection, and phone coverage offline maps.",verifying,3,N,editorial seed — verify before publish
purple-island,Purple Island (Al Khor),قيد المراجعة,nature,mangrove walk,Al Khor,Al Khor coast,0,0,free,Free,outdoor,N,partial,unknown,unknown,Y,walk-in,,,,"Mangrove walk — verify access, hours and safety conditions before the drive.",قيد المراجعة,"Remote site — bring water, sun protection, and phone coverage offline maps.",verifying,3,N,editorial seed — verify before publish
heenat-salma-farm,Heenat Salma Farm,قيد المراجعة,farm,organic farm stay,Al Rayyan,Al Kheesa,0,0,mid,Day visits from QAR 100,outdoor,N,partial,unknown,unknown,Y,online,,,,"Organic farm stay — verify access, hours and safety conditions before the drive.",قيد المراجعة,"Remote site — bring water, sun protection, and phone coverage offline maps.",verifying,3,N,editorial seed — verify before publish
education-city-farm,Education City Farm Tours,قيد المراجعة,farm,schools programme,Education City,QF Farm,0,0,verifying,Programme-based,outdoor,N,partial,unknown,unknown,Y,online,,,,"Schools programme — verify access, hours and safety conditions before the drive.",قيد المراجعة,"Remote site — bring water, sun protection, and phone coverage offline maps.",verifying,3,N,editorial seed — verify before publish
qatar-zoo-planned,Qatar Zoo (reopening),قيد المراجعة,zoo-aquarium,zoo,Al Rayyan,Al Rayyan — verify open status,0,0,verifying,Confirming,outdoor,N,partial,unknown,unknown,Y,online,,,,"Zoo — verify access, hours and safety conditions before the drive.",قيد المراجعة,"Remote site — bring water, sun protection, and phone coverage offline maps.",verifying,3,N,editorial seed — verify before publish
